[2025-09-19 06:51:16] === 開始：C:/xampp/htdocs/working/01_check_pre/ → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/ ===
[2025-09-19 06:51:16] 設定: FORCE_SRGB=true, FORCE_RGB=true, DEFAULT_JPEG_QUALITY=90
[2025-09-19 06:51:16] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\001.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\001.jpg
[2025-09-19 06:51:16] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\002.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\002.jpg
[2025-09-19 06:51:16] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\003.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\003.jpg
[2025-09-19 06:51:16] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\004.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\004.jpg
[2025-09-19 06:51:16] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\005.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\005.jpg
[2025-09-19 06:51:16] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\006.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\006.jpg
[2025-09-19 06:51:16] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\007.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\007.jpg
[2025-09-19 06:51:16] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\008.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\008.jpg
[2025-09-19 06:51:16] IMG : C:/xampp/htdocs/working/01_check_pre/\ikenai\ikenai_001\009.jpg → C:/xampp/htdocs/working/01_画像メタ情報_削除結果/\ikenai\ikenai_001\009.jpg
